scenario,seed,protocol,internal_auc,external_auc,optimism_gap
S1_preprocess,1,leaky,0.8213299232736573,0.8671913209728336,-0.0458613976991763
S1_preprocess,1,partial,0.8499912392681035,0.8340773229731384,0.01591391629496508
S1_preprocess,1,anti_leakage,0.8437123645122442,0.8699300231770368,-0.026217658664792642
S1_preprocess,2,leaky,0.849129740822376,0.8548206091178792,-0.0056908682955031376
S1_preprocess,2,partial,0.8230881172219993,0.8578716310086135,-0.03478351378661426
S1_preprocess,2,anti_leakage,0.8471177944862154,0.8523785132065387,-0.005260718720323299
S1_preprocess,3,leaky,0.8641966049151228,0.8231869242991589,0.041009680615963995
S1_preprocess,3,partial,0.8706284050111721,0.8473,0.02332840501117206
S1_preprocess,3,anti_leakage,0.8774937343358397,0.8428482504112756,0.03464548392456401
S1_preprocess,4,leaky,0.8083750000000001,0.8414361678359177,-0.033061167835917615
S1_preprocess,4,partial,0.8489587268011383,0.8141669630156472,0.03479176378549109
S1_preprocess,4,anti_leakage,0.8601382778126964,0.8426658957480875,0.017472382064608882
S1_preprocess,5,leaky,0.8579452844855688,0.8392769744160178,0.018668310069551053
S1_preprocess,5,partial,0.8803592995169083,0.8572755244755246,0.023083775041383703
S1_preprocess,5,anti_leakage,0.8371590194846009,0.8549190535491904,-0.01776003406458948
S1_preprocess,6,leaky,0.82399257754708,0.8515845168476748,-0.02759193930059478
S1_preprocess,6,partial,0.822785126653497,0.8238353485064012,-0.001050221852904154
S1_preprocess,6,anti_leakage,0.8567834138486311,0.8142444444444444,0.042538969404186666
S1_preprocess,7,leaky,0.8425842584258425,0.8591945993673928,-0.01661034094155034
S1_preprocess,7,partial,0.846313525410164,0.8386305068106517,0.00768301859951237
S1_preprocess,7,anti_leakage,0.8246407396241585,0.8647613960113961,-0.04012065638723761
S1_preprocess,8,leaky,0.8429342934293429,0.8339704836415363,0.008963809787806643
S1_preprocess,8,partial,0.8724310776942356,0.8642123516073097,0.008218726086925865
S1_preprocess,8,anti_leakage,0.8403001876172607,0.8455237565990554,-0.005223568981794768
S1_preprocess,9,leaky,0.8463388361431899,0.8381284542699233,0.008210381873266615
S1_preprocess,9,partial,0.8771559840325375,0.8712531258682967,0.005902858164240743
S1_preprocess,9,anti_leakage,0.845438175270108,0.8400111111111112,0.005427064158996853
S1_preprocess,10,leaky,0.861036103610361,0.8558201058201058,0.005215997790255167
S1_preprocess,10,partial,0.8504100410041004,0.8369119798121909,0.01349806119190955
S1_preprocess,10,anti_leakage,0.7925783301242779,0.8404595759811547,-0.04788124585687681
S1_preprocess,11,leaky,0.8284706235612049,0.8581982443062339,-0.029727620745028993
S1_preprocess,11,partial,0.8609610961096109,0.8387208432430018,0.022240252866609134
S1_preprocess,11,anti_leakage,0.8478380542488239,0.8508898776418241,-0.0030518233930002525
S1_preprocess,12,leaky,0.8504857772435899,0.8596053627900762,-0.009119585546486286
S1_preprocess,12,partial,0.854561403508772,0.8691179101807122,-0.014556506671940195
S1_preprocess,12,anti_leakage,0.8596030136917724,0.8246799589633793,0.03492305472839308
S1_preprocess,13,leaky,0.8697750000000001,0.886519302615193,-0.016744302615192885
S1_preprocess,13,partial,0.8159593634270843,0.8537740042674254,-0.03781464084034114
S1_preprocess,13,anti_leakage,0.8414539442370801,0.8544942318827669,-0.013040287645686766
S1_preprocess,14,leaky,0.8769610435395734,0.8258423837371205,0.05111865980245289
S1_preprocess,14,partial,0.8162155388471178,0.8686344974910714,-0.05241895864395352
S1_preprocess,14,anti_leakage,0.8308207705192631,0.8424475547798245,-0.011626784260561407
S1_preprocess,15,leaky,0.832724452006806,0.8502406865960356,-0.017516234589229573
S1_preprocess,15,partial,0.8696992481203007,0.8603625673689368,0.009336680751363957
S1_preprocess,15,anti_leakage,0.8362148337595908,0.8471720415718809,-0.010957207812290037
S1_preprocess,16,leaky,0.830958095809581,0.8120249788879506,0.018933116921630466
S1_preprocess,16,partial,0.8643151969981238,0.8725205853918725,-0.008205388393748736
S1_preprocess,16,anti_leakage,0.8390856342537014,0.8511517818448512,-0.012066147591149767
S1_preprocess,17,leaky,0.8111994797919166,0.8514513691322902,-0.0402518893403736
S1_preprocess,17,partial,0.8608992372541149,0.8600810638796771,0.0008181733744377917
S1_preprocess,17,anti_leakage,0.8396979124849459,0.8637041156840934,-0.02400620319914759
S1_preprocess,18,leaky,0.8589566310496543,0.8467283072546231,0.012228323795031137
S1_preprocess,18,partial,0.8407518796992481,0.8604073079109587,-0.019655428211710513
S1_preprocess,18,anti_leakage,0.8558944310897435,0.8437722261735421,0.012122204916201418
S1_preprocess,19,leaky,0.8818552727090686,0.8734199730964637,0.008435299612604918
S1_preprocess,19,partial,0.8750375037503749,0.8576344038127477,0.01740309993762723
S1_preprocess,19,anti_leakage,0.871998799519808,0.8369966629588432,0.035002136560964736
S1_preprocess,20,leaky,0.8524167937786002,0.8573984155379504,-0.00498162175935013
S1_preprocess,20,partial,0.8500663312557883,0.8685312975742019,-0.018464966318413545
S1_preprocess,20,anti_leakage,0.8453595359535955,0.8362886460406221,0.009070889912973334
S1_preprocess,21,leaky,0.8407948949854287,0.8308120133481647,0.009982881637264018
S1_preprocess,21,partial,0.8682795698924731,0.8346099543084569,0.033669615584016266
S1_preprocess,21,anti_leakage,0.87869918699187,0.8338059809384002,0.0448932060534698
S1_preprocess,22,leaky,0.8343250000000001,0.859666295884316,-0.025341295884315884
S1_preprocess,22,partial,0.8711305264743541,0.838071184592619,0.033059341881735094
S1_preprocess,22,anti_leakage,0.8417347580138276,0.8557179592790908,-0.013983201265263201
S1_preprocess,23,leaky,0.8718848540331604,0.8355260233788169,0.03635883065434353
S1_preprocess,23,partial,0.8686025226309586,0.8612457747731721,0.007356747857786505
S1_preprocess,23,anti_leakage,0.83675269684444,0.8433333333333335,-0.00658063648889351
S1_preprocess,24,leaky,0.8664366436643663,0.8590643013539478,0.0073723423104185
S1_preprocess,24,partial,0.8654466361659041,0.8384933035714286,0.02695333259447552
S1_preprocess,24,anti_leakage,0.8726065162907268,0.8650723025583982,0.007534213732328654
S1_preprocess,25,leaky,0.8474889955982392,0.8602774443110578,-0.01278844871281859
S1_preprocess,25,partial,0.8679075127132443,0.8479409246099268,0.01996658810331753
S1_preprocess,25,anti_leakage,0.8332204919882645,0.8529899131440518,-0.01976942115578728
S1_preprocess,26,leaky,0.8510686561145278,0.8218587492777458,0.02920990683678193
S1_preprocess,26,partial,0.870275,0.8591436574629852,0.011131342537014866
S1_preprocess,26,anti_leakage,0.8296023637820512,0.8373510051592243,-0.007748641377173127
S1_preprocess,27,leaky,0.8123815061048055,0.8670545454545454,-0.05467303934973988
S1_preprocess,27,partial,0.838126705213887,0.8482932574781101,-0.010166552264223139
S1_preprocess,27,anti_leakage,0.8384709617740443,0.8835914702581369,-0.04512050848409255
S1_preprocess,28,leaky,0.8273957470312069,0.8388659989504127,-0.01147025191920581
S1_preprocess,28,partial,0.8382853141256503,0.8427527188447138,-0.004467404719063484
S1_preprocess,28,anti_leakage,0.82945,0.8603489878904329,-0.030898987890432883
S1_preprocess,29,leaky,0.8350191223832528,0.8437040666340029,-0.00868494425075006
S1_preprocess,29,partial,0.8374759079872844,0.8629974108521965,-0.02552150286491206
S1_preprocess,29,anti_leakage,0.8334103037766831,0.8391888888888889,-0.0057785851122057474
S1_preprocess,30,leaky,0.8292066826730693,0.8477555706658046,-0.018548887992735352
S1_preprocess,30,partial,0.8609937235878072,0.8366772420572858,0.02431648153052146
S1_preprocess,30,anti_leakage,0.8557673069227691,0.8501207178540036,0.005646589068765584
S1_preprocess,31,leaky,0.8212890625,0.8474515953246812,-0.026162532824681173
S1_preprocess,31,partial,0.8467274233637117,0.8184491859008767,0.028278237462834976
S1_preprocess,31,anti_leakage,0.8446687253646656,0.8545357488406231,-0.00986702347595747
S1_preprocess,32,leaky,0.835666893715785,0.8357432620172269,-7.636830144197582e-05
S1_preprocess,32,partial,0.820952380952381,0.8581646273637376,-0.037212246411356564
S1_preprocess,32,anti_leakage,0.8437625451625853,0.8564516129032259,-0.012689067740640603
S1_preprocess,33,leaky,0.842171054276357,0.8351075675916441,0.007063486684712905
S1_preprocess,33,partial,0.8829566218617806,0.8559703822650431,0.026986239596737516
S1_preprocess,33,anti_leakage,0.8443358395989976,0.8336607142857143,0.010675125313283296
S1_preprocess,34,leaky,0.8541963905784586,0.8386329535982217,0.015563436980236989
S1_preprocess,34,partial,0.8228541416566627,0.8476117343304843,-0.024757592673821605
S1_preprocess,34,anti_leakage,0.8255575557555757,0.8121589936771456,0.013398562078430043
S1_preprocess,35,leaky,0.8787219680492012,0.8638405546699959,0.014881413379205344
S1_preprocess,35,partial,0.8558639885654105,0.8459348870307775,0.009929101534633
S1_preprocess,35,anti_leakage,0.8485848584858486,0.8457084316956929,0.0028764267901557616
S1_preprocess,36,leaky,0.8311230107096387,0.853045518744648,-0.02192250803500928
S1_preprocess,36,partial,0.838588682453552,0.8389222222222222,-0.0003335397686702324
S1_preprocess,36,anti_leakage,0.8120434253246753,0.8516414492334715,-0.03959802390879619
S1_preprocess,37,leaky,0.8497060662914321,0.8408707053646829,0.008835360926749192
S1_preprocess,37,partial,0.8494809255784864,0.8083081302259385,0.04117279535254792
S1_preprocess,37,anti_leakage,0.826047633403678,0.8284510455692544,-0.0024034121655763796
S1_preprocess,38,leaky,0.8755256729873334,0.8562936130494688,0.019232059937864587
S1_preprocess,38,partial,0.8707752976566647,0.8626529319598626,0.008122365696802136
S1_preprocess,38,anti_leakage,0.8429325924257215,0.8521111111111112,-0.009178518685389658
S1_preprocess,39,leaky,0.8518917025322792,0.8429153311965812,0.008976371335697952
S1_preprocess,39,partial,0.8274361731389562,0.8333649162310084,-0.005928743092052158
S1_preprocess,39,anti_leakage,0.8302921078320943,0.8535595105672971,-0.02326740273520278
S1_preprocess,40,leaky,0.8487329727564102,0.8437816144345254,0.004951358321884869
