scenario,protocol,n,mean_gap,sd_gap,ci95_lo,ci95_hi,mean_internal_auc,mean_external_auc
S1_preprocess,anti_leakage,50,-0.002598352748778714,0.02441169796021227,-0.008963875568040847,0.004248500624586187,0.8444063291666157,0.8470046819153942
S1_preprocess,leaky,50,-0.0038291984300481063,0.02213182470956245,-0.009992449806805921,0.002198965720489704,0.8451569666584366,0.8489861650884848
S1_preprocess,partial,50,0.0028600175239491877,0.023384003124884555,-0.0036607700209686294,0.009038798139378012,0.8498175330066264,0.8469575154826774
S2_feature_select,anti_leakage,50,-0.011024422468856203,0.07368385053290182,-0.03057954809687702,0.009100156108037268,0.5507759498080569,0.5618003722769132
S2_feature_select,leaky,50,0.23816525444310407,0.06912107951670395,0.21955025715787274,0.2569754997609963,0.8099484120096598,0.5717831575665557
S2_feature_select,partial,50,0.01723427183367345,0.0645406969254324,-0.001100124997489622,0.034542459851561666,0.5797891787664561,0.5625549069327825
S3_test_peeking,anti_leakage,50,0.002715792814344402,0.029385247079402856,-0.005446621184990856,0.010861152131021899,0.8228069702855726,0.8200911774712281
S3_test_peeking,leaky,50,0.0027265213589114,0.02657288094612026,-0.004511561521654679,0.00965753968375764,0.8287412450176589,0.8260147236587477
S3_test_peeking,partial,50,-0.003784504509823752,0.02835490624423659,-0.011859263722385245,0.003888972161229725,0.8153023383734022,0.8190868428832258
S4_group_leakage,anti_leakage,50,-0.002756692399936285,0.028372601172654797,-0.010430370352438737,0.0051057729530503875,0.8103828860656834,0.8131395784656196
S4_group_leakage,leaky,50,-0.0020777250539465576,0.025726867876524874,-0.009021385035104305,0.005195690519353579,0.8139782749619058,0.8160560000158523
S4_group_leakage,partial,50,0.017919755145850407,0.03363751777440198,0.008449372714338512,0.027393938080214696,0.8309619096688249,0.8130421545229746
S5_temporal_leakage,anti_leakage,50,-7.094416406667747e-06,0.03125856740760152,-0.008154880871243999,0.008761911431383936,0.691126429348512,0.6911335237649187
S5_temporal_leakage,leaky,50,0.000952693280958059,0.02643718165853892,-0.006433150663431154,0.008177925690622962,0.6865870040932174,0.6856343108122591
S5_temporal_leakage,partial,50,0.04499574630216186,0.030740568265293877,0.03674113183923735,0.05335928119733429,0.7370982207322986,0.6921024744301367
S6_duplicate_leakage,anti_leakage,50,-0.003491689488708978,0.0340153720802698,-0.012620248723879311,0.0062116007087325885,0.738205019465521,0.7416967089542301
S6_duplicate_leakage,leaky,50,-0.003005091494485537,0.03351767687415758,-0.012115925558945072,0.006127210331849122,0.7371606219704535,0.7401657134649392
S6_duplicate_leakage,partial,50,-0.005131356263180802,0.03742116832876355,-0.014896277072412532,0.005146110084771406,0.7407478932258766,0.7458792494890574
