protocol,trials,optimism_gap,log_trials
anti_leakage,1,0.0014815343037809247,0.0
anti_leakage,5,0.0015227908212605468,1.6094379124341003
anti_leakage,10,0.0014603541415399745,2.302585092994046
anti_leakage,20,0.0014645203750511925,2.995732273553991
anti_leakage,40,0.0014827743391861304,3.6888794541139363
leaky,1,0.0014815343037809247,0.0
leaky,5,0.0016428594471810131,1.6094379124341003
leaky,10,0.0016676093839014428,2.302585092994046
leaky,20,0.0017274413204030736,2.995732273553991
leaky,40,0.001761416400782878,3.6888794541139363
